0.00000000E+0	9.92701509E-1	3.74047523E-1	-1.36780002E-1
1.00000000E-3	1.11393881E+0	3.01590476E-1	-1.35041399E-1
2.00000000E-3	1.23385132E+0	5.07612294E-1	-1.32234328E-1
3.00000000E-3	1.35274209E+0	4.92207931E-1	-1.28547802E-1
4.00000000E-3	1.47038305E+0	4.01939110E-1	-1.24464506E-1
5.00000000E-3	1.58653672E+0	4.78591950E-1	-1.20740489E-1
6.00000000E-3	1.70095001E+0	5.24240701E-1	-1.17347636E-1
7.00000000E-3	1.81391976E+0	5.54954103E-1	-1.14620231E-1
8.00000000E-3	1.92506789E+0	5.28031640E-1	-1.12905059E-1
9.00000000E-3	2.03400071E+0	5.91298290E-1	-1.12316152E-1
1.00000000E-2	2.14145092E+0	6.86932267E-1	-1.12945673E-1
1.10000000E-2	2.24672019E+0	6.92523998E-1	-1.14809244E-1
1.20000000E-2	2.34911018E+0	6.76916518E-1	-1.17613190E-1
1.30000000E-2	2.44973947E+0	6.16793504E-1	-1.21415311E-1
1.40000000E-2	2.54804097E+0	6.48454219E-1	-1.25415817E-1
1.50000000E-2	2.64371159E+0	6.46415649E-1	-1.29210127E-1
1.60000000E-2	2.73653416E+0	6.75987910E-1	-1.32642033E-1
1.70000000E-2	2.82680398E+0	6.94842356E-1	-1.35292895E-1
1.80000000E-2	2.91432261E+0	7.79700847E-1	-1.37017439E-1
1.90000000E-2	2.99880574E+0	8.11808556E-1	-1.37629777E-1
2.00000000E-2	3.08062362E+0	8.40768015E-1	-1.37029936E-1
2.10000000E-2	3.15918258E+0	8.90437417E-1	-1.35206980E-1
2.20000000E-2	3.23474041E+0	8.10134406E-1	-1.32484262E-1
2.30000000E-2	3.30699714E+0	8.18375872E-1	-1.28724318E-1
2.40000000E-2	3.37597934E+0	9.08257064E-1	-1.24705067E-1
2.50000000E-2	3.44186354E+0	9.61210919E-1	-1.20901384E-1
2.60000000E-2	3.50407170E+0	8.69802412E-1	-1.17546021E-1
2.70000000E-2	3.56315219E+0	9.85874470E-1	-1.14813930E-1
2.80000000E-2	3.61805203E+0	8.90548417E-1	-1.13081575E-1
2.90000000E-2	3.66974295E+0	9.94545785E-1	-1.12437995E-1
3.00000000E-2	3.71806717E+0	1.01692699E+0	-1.13062830E-1
3.10000000E-2	3.76286534E+0	8.95922881E-1	-1.15018563E-1
3.20000000E-2	3.80344381E+0	9.81464457E-1	-1.17750654E-1
3.30000000E-2	3.84045560E+0	1.02963477E+0	-1.21507474E-1
3.40000000E-2	3.87353047E+0	1.04820623E+0	-1.25554842E-1
3.50000000E-2	3.90321051E+0	8.85800796E-1	-1.29327283E-1
3.60000000E-2	3.92863180E+0	9.05552565E-1	-1.32702954E-1
3.70000000E-2	3.95053954E+0	1.00800550E+0	-1.35358502E-1
3.80000000E-2	3.96792450E+0	9.30899220E-1	-1.37056491E-1
3.90000000E-2	3.98194902E+0	9.92535426E-1	-1.37696947E-1
4.00000000E-2	3.99183664E+0	9.30610100E-1	-1.37093981E-1
4.10000000E-2	3.99788731E+0	9.43552363E-1	-1.35297581E-1
4.20000000E-2	3.99989171E+0	1.03426676E+0	-1.32474889E-1
4.30000000E-2	3.99795918E+0	9.42529881E-1	-1.28771180E-1
4.40000000E-2	3.99210691E+0	9.94811583E-1	-1.24698819E-1
4.50000000E-2	3.98237708E+0	9.91888343E-1	-1.20946685E-1
4.60000000E-2	3.96864784E+0	1.03203432E+0	-1.17524151E-1
4.70000000E-2	3.95099104E+0	9.94477053E-1	-1.14779564E-1
4.80000000E-2	3.92940044E+0	8.50163148E-1	-1.13148745E-1
4.90000000E-2	3.90409163E+0	9.08683671E-1	-1.12502041E-1
5.00000000E-2	3.87483340E+0	9.84615934E-1	-1.13033150E-1
5.10000000E-2	3.84180697E+0	9.68508173E-1	-1.14960766E-1
5.20000000E-2	3.80479361E+0	8.52964448E-1	-1.17741281E-1
5.30000000E-2	3.76411985E+0	8.78454960E-1	-1.21518409E-1
5.40000000E-2	3.71995909E+0	8.23357876E-1	-1.25512666E-1
5.50000000E-2	3.67190826E+0	8.81942628E-1	-1.29253865E-1
5.60000000E-2	3.61996269E+0	9.39887935E-1	-1.32612353E-1
5.70000000E-2	3.56487382E+0	8.33070380E-1	-1.35303829E-1
5.80000000E-2	3.50638387E+0	8.74959511E-1	-1.36948707E-1
5.90000000E-2	3.44418976E+0	7.11861571E-1	-1.37637588E-1
6.00000000E-2	3.37835087E+0	7.84104440E-1	-1.36939335E-1
6.10000000E-2	3.30964832E+0	7.33074994E-1	-1.35083575E-1
6.20000000E-2	3.23725723E+0	7.01247131E-1	-1.32403033E-1
6.30000000E-2	3.16187438E+0	7.31078768E-1	-1.28597789E-1
6.40000000E-2	3.08344508E+0	6.47319307E-1	-1.24537924E-1
6.50000000E-2	3.00186624E+0	6.69759829E-1	-1.20801411E-1
6.60000000E-2	2.91728937E+0	7.13679610E-1	-1.17330453E-1
6.70000000E-2	2.82992696E+0	6.77704381E-1	-1.14581179E-1
6.80000000E-2	2.73984150E+0	5.67538334E-1	-1.12867569E-1
6.90000000E-2	2.64666429E+0	6.79075233E-1	-1.12219303E-1
7.00000000E-2	2.55116708E+0	6.55632722E-1	-1.12797275E-1
7.10000000E-2	2.45304056E+0	5.22097423E-1	-1.14720205E-1
7.20000000E-2	2.35268310E+0	4.76903742E-1	-1.17505406E-1
7.30000000E-2	2.25024625E+0	4.22336556E-1	-1.21235671E-1
7.40000000E-2	2.14483481E+0	4.67843050E-1	-1.25242425E-1
