Frec	PSD
10	3,61662838834994E-08
11,2248155037532	3,44431191075968E-08
13,9113467431013	3,08602395764205E-08
17,0991652873086	2,79895854625471E-08
23,9843700066182	2,38831646569303E-08
32,8192787251147	2,01320001886653E-08
46,8005434399813	1,69700053329746E-08
61,9604688455309	1,39597077104784E-08
81,3568762530568	1,17671523978508E-08
108,603117965614	1,04152055285659E-08
184,175973849685	1,02888655277348E-08
299,710880083995	1,01640580742707E-08
975,545010046874	1,02888655277348E-08
2339,78324790743	1,00407645778505E-08
4033,98953310743	9,91896667365825E-09
9595,74841721561	8,77936080406462E-09
