Frec	PSD
0,967590451447203	4,08820614469772E-08
1,03349510994485	3,96134786917741E-08
1,09183196019967	3,82656095143707E-08
1,16619897401854	3,66798810703668E-08
1,23202645037523	3,52527254707632E-08
1,33047389973924	3,38255698711596E-08
1,45265392594679	3,21605550049555E-08
1,55159729683433	3,03369672943509E-08
1,71279068556192	2,8751238850347E-08
1,84965452824699	2,7165510406343E-08
2,06435970634402	2,55797819623391E-08
2,2788233028566	2,39147670961349E-08
2,59982643966901	2,20911793855304E-08
2,99880023198697	2,05054509415264E-08
3,38385515342825	1,90782953419228E-08
3,98982543919061	1,76511397423193E-08
4,65293033369713	1,62239841427157E-08
5,66992228836831	1,48761149653123E-08
6,83373584926366	1,3528245787909E-08
8,79743609589294	1,22596630327058E-08
11,576919268898	1,09910802775026E-08
15,7448422882236	9,72249752229948E-09
21,1794242279455	8,77106045589711E-09
29,4441085515178	7,89890981169494E-09
39,6072094347179	7,26461843409334E-09
56,2856202549892	6,47175421209137E-09
81,7635272377597	5,83746283448979E-09
121,411753451503	5,3617443012886E-09
174,442948280172	4,80673934588722E-09
289,100794092953	4,41030723488623E-09
419,96340353346	4,17244796828563E-09
644,497126954442	3,85530227948484E-09
936,231281731791	3,69672943508445E-09
