Frec	PSD
10,2506802833418	3,43032832216552E-09
13,3489783491451	3,34761096981507E-09
18,1160919420041	3,18811199211551E-09
24,5856108735216	3,03621244102692E-09
34,4853317762211	2,8915502372078E-09
60,4452262024224	2,52828981485396E-09
86,9096698935216	2,32126317450167E-09
128,093437865255	2,21066516695449E-09
239,843700066182	2,21066516695448E-09
430,931858280529	2,19721619554747E-09
813,568762530568	2,18384904332982E-09
1841,75973849685	2,13118871643631E-09
4309,31858280529	2,02964692301364E-09
9595,74841721562	1,90949588991441E-09
