Frec	PSD
0,10697155097988	8,40481777413741E-07
0,21224099270897	3,79402462326265E-07
0,321600765018995	2,16405605040975E-07
0,42586141490319	1,78274215543798E-07
0,545237058120616	1,67866376312875E-07
0,634510808438724	1,57538794592078E-07
0,738401691574861	1,46861704075266E-07
0,864142501692888	1,38287760835453E-07
0,956065848021299	1,32851725306673E-07
1,0697155097988	1,27629378119447E-07
1,21039418693533	1,24262367191151E-07
1,29477743473502	1,18582422793847E-07
1,44869049191547	1,13162104613922E-07
1,62089953459513	1,15454081033245E-07
1,71453494617282	1,11659454218234E-07
1,8969189735068	1,04440255242457E-07
1,9840882063016	1,01685000253858E-07
2,09870414136627	9,76878043286042E-08
2,34818174411816	1,00334751366316E-07
2,48383047457736	9,38477365463894E-08
2,6273153012507	9,07632449940776E-08
3,07471508132184	8,95580232772355E-08
3,36379304505635	8,66145216393049E-08
3,72161726091433	8,21048194137509E-08
4,30671706764052	7,88773124187659E-08
4,8730950011445	7,62848534764609E-08
5,33125269795784	7,18312622023913E-08
5,70292369766218	6,85479063117847E-08
6,45291727469146	6,67395330903187E-08
7,38401691574861	7,04052791824347E-08
7,63707101962977	6,541463028298E-08
8,07824598014313	6,28432078217875E-08
8,54490654178338	6,07777414527539E-08
9,34827990096257	6,03728669297381E-08
10,3427052060802	5,68482344359257E-08
12,240661212832	5,60933613955141E-08
13,2419279188604	5,14251558839353E-08
15,8489319246111	5,10825841634033E-08
16,9538482935018	4,90745485951321E-08
20,0649935466115	5,04042717056441E-08
21,7062782489311	4,68313858931503E-08
25,4025929280683	4,2647973875336E-08
29,3963008164784	4,12462638290136E-08
34,4021326303976	4,04274494290786E-08
39,8107170553497	3,98906237568405E-08
44,5431050366002	3,85795394779607E-08
48,7309500114449	3,70629935015187E-08
55,139575034098	3,60852287737287E-08
73,0154278078123	3,53688704371927E-08
79,8801780801571	3,42064025280768E-08
88,377449375172	3,33039979812026E-08
102,271846601732	3,46667331346854E-08
113,151036499695	3,28617627831638E-08
130,940251495589	3,19948313913142E-08
143,250966560921	3,07371276066137E-08
162,089953459513	3,17816959277565E-08
189,69189735068	3,09432579514436E-08
227,037481715877	3,01269389407682E-08
254,025929280683	3,17816959277565E-08
274,804848085334	2,93321553717789E-08
332,622190664134	2,99262465533578E-08
440,455907298792	2,91367574821681E-08
492,813875106144	2,87498579957278E-08
545,237058120615	2,9726891090168E-08
638,08428501176	2,81791202964158E-08
698,07556905714	2,67119362825838E-08
816,949331913287	2,78049370271314E-08
1022,71846601732	2,70714105600252E-08
