,A(x),B(Y)
,"-104,582","-9,00E-08"
,"-104,58","3,42E-06"
,"-104,578","2,40E-06"
,"-104,576","5,20E-06"
,"-104,574","4,61E-06"
,"-104,572","3,67E-06"
,"-104,57","1,88E-06"
,"-104,568","-3,70E-07"
,"-104,566","2,27E-06"
,"-104,564","-1,29E-06"
,"-104,562","-1,24E-06"
,"-104,56","-1,63E-06"
,"-104,558","3,39E-06"
,"-104,556","-4,00E-08"
,"-104,554","4,48E-06"
,"-104,552","3,79E-06"
,"-104,55","1,47E-06"
,"-104,548","2,82E-06"
,"-104,546","-1,77E-06"
,"-104,544","-1,00E-07"
,"-104,542","-1,50E-07"
,"-104,54","2,53E-06"
,"-104,538","3,82E-06"
,"-104,536","1,66E-06"
,"-104,534","5,71E-06"
,"-104,532","5,59E-06"
,"-104,53","5,02E-06"
,"-104,528","2,08E-06"
,"-104,526","4,15E-06"
,"-104,524","3,77E-06"
,"-104,522","5,10E-07"
,"-104,52","1,62E-06"
,"-104,518","3,67E-06"
,"-104,516","7,12E-06"
,"-104,514","3,54E-06"
,"-104,512","4,22E-06"
,"-104,51","3,45E-06"
,"-104,508","1,59E-06"
,"-104,506","1,24E-06"
,"-104,504","-3,20E-06"
,"-104,502","-3,42E-06"
,"-104,5","-1,10E-05"
,"-104,498","5,00E-07"
,"-104,496","2,17E-06"
,"-104,494","2,77E-06"
,"-104,492","2,18E-06"
,"-104,49","1,97E-06"
,"-104,488","-2,48E-06"
,"-104,486","-4,40E-07"
,"-104,484","-2,09E-06"
,"-104,482","-2,67E-06"
,"-104,48","-1,04E-06"
,"-104,478","2,00E-07"
,"-104,476","1,23E-06"
,"-104,474","1,30E-07"
,"-104,472","9,90E-07"
,"-104,47","4,63E-06"
,"-104,468","1,41E-06"
,"-104,466","-1,80E-07"
,"-104,464","-1,18E-06"
,"-104,462","-2,32E-06"
,"-104,46","-3,36E-06"
,"-104,458","-3,10E-07"
,"-104,456","-4,80E-07"
,"-104,454","1,28E-06"
,"-104,452","2,90E-06"
,"-104,45","-1,21E-06"
,"-104,448","7,10E-07"
,"-104,446","-3,30E-07"
,"-104,444","-8,50E-07"
,"-104,442","-3,81E-06"
,"-104,44","1,70E-06"
,"-104,438","2,62E-06"
,"-104,436","2,46E-06"
,"-104,434","3,51E-06"
,"-104,432","1,87E-06"
,"-104,43","2,28E-06"
,"-104,428","2,50E-06"
,"-104,426","-1,14E-06"
,"-104,424","4,70E-07"
,"-104,422","2,35E-06"
,"-104,42","5,80E-07"
,"-104,418","4,29E-06"
,"-104,416","3,92E-06"
,"-104,414","3,12E-06"
,"-104,412","5,39E-06"
,"-104,41","2,30E-06"
,"-104,408","2,42E-06"
,"-104,406","6,90E-07"
,"-104,404","1,45E-06"
,"-104,402","-2,28E-06"
,"-104,4","-8,90E-07"
,"-104,398","1,37E-06"
,"-104,396","-5,00E-08"
,"-104,394","1,13E-06"
,"-104,392","-1,92E-06"
,"-104,39","-1,50E-07"
,"-104,388","-1,54E-06"
,"-104,386","-2,31E-06"
,"-104,384","-4,20E-06"
,"-104,382","-6,60E-06"
,"-104,38","-3,13E-06"
,"-104,378","-1,20E-06"
,"-104,376","1,50E-06"
,"-104,374","-1,09E-06"
,"-104,372","5,40E-07"
,"-104,37","2,01E-06"
,"-104,368","2,91E-06"
,"-104,366","-6,80E-07"
,"-104,364","-1,62E-06"
,"-104,362","-2,18E-06"
,"-104,36","-1,90E-06"
,"-104,358","1,39E-06"
,"-104,356","2,77E-06"
,"-104,354","7,13E-06"
,"-104,352","3,02E-06"
,"-104,35","2,54E-06"
,"-104,348","-6,07E-06"
,"-104,346","-4,40E-07"
,"-104,344","-2,09E-06"
,"-104,342","-9,00E-07"
,"-104,34","4,00E-07"
,"-104,338","1,07E-06"
,"-104,336","3,49E-06"
,"-104,334","5,27E-06"
,"-104,332","6,50E-06"
,"-104,33","2,43E-06"
,"-104,328","6,80E-07"
,"-104,326","1,64E-06"
,"-104,324","3,69E-06"
,"-104,322","1,75E-06"
,"-104,32","1,02E-06"
,"-104,318","5,58E-06"
,"-104,316","4,67E-06"
,"-104,314","6,06E-06"
,"-104,312","3,87E-06"
,"-104,31","3,58E-06"
,"-104,308","1,62E-06"
,"-104,306","-5,80E-07"
,"-104,304","-8,90E-07"
,"-104,302","-7,20E-07"
,"-104,3","1,40E-07"
,"-104,298","1,80E-07"
,"-104,296","5,43E-06"
,"-104,294","2,41E-06"
,"-104,292","4,29E-06"
,"-104,29","2,07E-06"
,"-104,288","-5,80E-07"
,"-104,286","3,01E-06"
,"-104,284","-2,84E-06"
,"-104,282","-1,03E-06"
,"-104,28","-1,00E-06"
,"-104,278","1,59E-06"
,"-104,276","1,98E-06"
,"-104,274","3,92E-06"
,"-104,272","3,20E-06"
,"-104,27","-2,20E-06"
,"-104,268","4,85E-06"
,"-104,266","4,35E-06"
,"-104,264","3,24E-06"
,"-104,262","-2,53E-06"
,"-104,26","-4,50E-07"
,"-104,258","1,78E-06"
,"-104,256","1,08E-06"
,"-104,254","6,31E-06"
,"-104,252","4,84E-06"
,"-104,25","4,35E-06"
,"-104,248","4,72E-06"
,"-104,246","2,22E-06"
,"-104,244","-1,44E-06"
,"-104,242","-2,01E-06"
,"-104,24","2,33E-06"
,"-104,238","5,06E-06"
,"-104,236","4,33E-06"
,"-104,234","2,89E-06"
,"-104,232","2,59E-06"
,"-104,23","3,12E-06"
,"-104,228","3,20E-07"
,"-104,226","1,76E-06"
,"-104,224","-1,11E-06"
,"-104,222","-1,23E-06"
,"-104,22","2,61E-06"
,"-104,218","7,34E-06"
,"-104,216","6,17E-06"
,"-104,214","7,14E-06"
,"-104,212","4,15E-06"
,"-104,21","7,40E-07"
,"-104,208","-7,40E-07"
,"-104,206","-1,13E-06"
,"-104,204","9,10E-07"
,"-104,202","1,00E-08"
