Frec	PSD	D[T/sqrtHz]	S[mV/Oe]
0,197415528313513	7,99528608386075E-07	7,99528608386075E-10	100
0,259139630143966	7,21605101972339E-07	7,21605101972339E-10	
0,31583695435801	6,69747237839933E-07	6,69747237839933E-10	
0,389728908193034	6,39245995627774E-07	6,39245995627774E-10	
0,5375234581603	5,3548207704058E-07	5,3548207704058E-10	
0,593419722812372	5,11095461300645E-07	5,11095461300645E-10	
0,60827940846275	4,74365788910063E-07	4,74365788910063E-10	
0,828642772854685	4,36190410330601E-07	4,36190410330601E-10	
1,07435869206395	3,93678502838486E-07	3,93678502838486E-10	
1,59590677640473	3,68809092469451E-07	3,68809092469451E-10	
2,34150541506769	3,23684167795652E-07	3,23684167795652E-10	
2,78408914103407	3,00422733599196E-07	3,00422733599196E-10	
3,15056779403055	2,76245712706989E-07	2,76245712706989E-10	
3,52146967422712	2,71142989806531E-07	2,71142989806531E-10	
4,13562691781771	2,44716902880287E-07	2,44716902880287E-10	
4,56568460774952	2,37967812619538E-07	2,37967812619538E-10	
5,1031816927535	2,25022901688267E-07	2,25022901688267E-10	
5,56461364195719	2,25022901688267E-07	2,25022901688267E-10	
6,06776847240736	2,16786577313655E-07	2,16786577313655E-10	
6,61641878550819	2,16786577313655E-07	2,16786577313655E-10	
7,12600957754408	2,08851720206131E-07	2,08851720206131E-10	
7,67484860699454	2,03091762090474E-07	2,03091762090474E-10	
8,16436972888568	1,88496653247546E-07	1,88496653247546E-10	
8,68511373751353	1,8674761357591E-07	1,8674761357591E-10	
9,58826579280604	1,81597268482585E-07	1,81597268482585E-10	
10,7170482989671	1,92044029448835E-07	1,92044029448835E-10	
11,4006085586302	1,90262074064378E-07	1,90262074064378E-10	
12,1277680086259	1,95658164808426E-07	1,95658164808426E-10	
13,0618381008455	1,83298071083244E-07	1,83298071083244E-10	
13,5555144502387	1,83298071083244E-07	1,83298071083244E-10	
14,599548325525	1,70125427985259E-07	1,70125427985259E-10	
15,530744188972	1,71718787691456E-07	1,71718787691456E-10	
17,1457631695418	1,5211997130534E-07	1,5211997130534E-10	
18,0152004080203	1,5211997130534E-07	1,5211997130534E-10	
19,4027153979595	1,56434300228654E-07	1,56434300228654E-10	
20,1360472331903	1,49310059601768E-07	1,49310059601768E-10	
21,6869079919604	1,45192211356594E-07	1,45192211356594E-10	
23,0701534570109	1,5211997130534E-07	1,5211997130534E-10	
24,5416257922677	1,43844988828767E-07	1,43844988828767E-10	
27,7721193242936	1,38579951453605E-07	1,38579951453605E-10	
33,4324005776568	1,21624268965488E-07	1,21624268965488E-10	
36,0073348498562	1,28620958267008E-07	1,28620958267008E-10	
