A(X);B(X)
47.71429;104.27199
47.85714;103.68518
48;107.50579
48.14286;107.80671
48.28571;107.21644
48.42857;103.68403
48.57143;105.06482
48.71429;103.80671
48.85714;105.42824
49;106.03819
49.14286;105.74074
49.28571;104.10417
49.42857;105.60764
49.57143;105.58218
49.71429;102.64352
49.85714;104.12963
50;103.36111
50.14286;103.39815
50.28571;103.27778
50.42857;107.51968
50.57143;104.74537
50.71429;105.375
50.85714;104.84491
51;102.91782
51.14286;105.56018
51.28571;102.13194
51.42857;102.81597
51.57143;103.3669
51.71429;102.06713
51.85714;103.55903
52;102.86111
52.14286;100.95602
52.28571;104.76042
52.42857;104.53125
52.57143;105.37616
52.71429;103.50232
52.85714;102.5544
53;102.82407
53.14286;103.1088
53.28571;100.70602
53.42857;102.31019
53.57143;122.91435
53.71429;122.77083
53.85714;121.25463
54;124.32755
54.14286;125.31713
54.28571;117.77778
54.42857;120.3206
54.57143;113.54282
54.71429;108.98495
54.85714;109.73958
55;111.29977
55.14286;108.59838
55.28571;112.95833
55.42857;108.72107
55.57143;110.23264
55.71429;106.95949
55.85714;108.13542
56;106.59954
56.14286;111.57407
56.28571;110.84028
56.42857;107.23611
56.57143;104.15046
56.71429;106.9919
56.85714;105.01852
57;107.09491
57.14286;105.39699
57.28571;106.3912
57.42857;103.11343
57.57143;102.19097
57.71429;104.43056
57.85714;103.20023
58;103.88889
58.14286;105.00579
58.28571;103.78588
58.42857;102.68518
58.57143;101.61806
58.71429;101.98264
58.85714;101.64699
59;103.0544
59.14286;104.87269
59.28571;102.66782
59.42857;102.59259
59.57143;102.44676
59.71429;101.55093
59.85714;103.78704
60;104.71875
60.14286;103.98032
60.28571;104.32292
60.42857;100.89815
60.57143;100.58449
60.71429;100.55556
60.85714;101.47338
61;102.40625
61.14286;101.20833
61.28571;103.50232
61.42857;102.5081
61.57143;100.85648
61.71429;103.85417
61.85714;105.21296
62;106.10995
62.14286;123.85301
62.28571;121.8912
62.42857;123.78588
62.57143;123.69329
62.71429;121.50232
62.85714;114.01505
63;114.28704
63.14286;115.84491
63.28571;113.81944
63.42857;110.37268
63.57143;108.46759
63.71429;108.03009
63.85714;107.64005
64;109.44444
64.14286;109.96412
64.28571;108.69444
64.42857;106.28819
64.57143;104.83218
64.71429;106.01968
64.85714;103.37384
65;101.52662
65.14286;104.41898
65.28571;104.62732
65.42857;106.16551
65.57143;102.39699
65.71429;102.64699
65.85714;101.78357
66;102.38194
66.14286;104.36227
66.28571;105.20833
66.42857;101.66898
66.57143;102.45718
66.71429;103.76157
66.85714;102.98611
67;103.9838
67.14286;105.43866
67.28571;104.31944
67.42857;103.02083
67.57143;105.22107
67.71429;103.92361
67.85714;103.17477
68;102.27894
68.14286;101.34028
68.28571;101.87732
68.42857;101.91319
68.57143;101.05903
68.71429;101.00926
68.85714;102.70486
69;103.05787
69.14286;106.43403
69.28571;120.94676
69.42857;118.40393
69.57143;120.02778
69.71429;119.63773
69.85714;114.7419
70;116.0544
70.14286;111.23032
70.28571;110.26157
70.42857;112.17593
70.57143;107.65625
70.71429;108.72569
70.85714;106.87037
71;103.03125
71.14286;102.92593
71.28571;106.58912
71.42857;105.65046
71.57143;106.97454
71.71429;104.50926
71.85714;105.7662
72;102.84028
72.14286;104.09028
72.28571;104.18982
72.42857;104.52083
72.57143;108.59722
72.71429;104.71644
72.85714;102.48264
73;103.00579
73.14286;103.39583
73.28571;105.4456
73.42857;105.50116
73.57143;102.29282
73.71429;103.13194
73.85714;103.89468
74;103.00463
74.14286;101.68982
74.28571;102.70833
74.42857;104.50232
74.57143;102.85532
74.71429;106.22801
74.85714;104.72222
75;102.96181
75.14286;104.18171
75.28571;102.5
75.42857;102.75232
75.57143;100.09491
75.71429;104.07755
75.85714;102.60185
76;104.88889
76.14286;101.94097
76.28571;103.2037
76.42857;100.96412
76.57143;104.17824
76.71429;103.1956
76.85714;102.95718
77;100.82407
77.14286;113.39583
77.28571;121.09028
77.42857;123.23264
77.57143;122.77546
77.71429;123.7662
77.85714;117.41898
78;115.60995
78.14286;112.97222
78.28571;112.26042
78.42857;109.41088
78.57143;113.03125
78.71429;111.49074
78.85714;109.37268
