A(X);B(Y)
0.542;-2.90E-07
0.544;-8.00E-07
0.546;-4.50E-07
0.548;1.96E-06
0.55;2.18E-06
0.552;-8.50E-07
0.554;1.49E-06
0.556;3.64E-06
0.558;1.98E-06
0.56;2.10E-07
0.562;-3.48E-06
0.564;-3.18E-06
0.566;-2.79E-06
0.568;-1.37E-06
0.57;2.70E-07
0.572;2.96E-06
0.574;-5.70E-07
0.576;2.74E-06
0.578;3.40E-06
0.58;3.88E-06
0.582;2.80E-06
0.584;-1.04E-06
0.586;-1.24E-06
0.588;-2.54E-06
0.59;2.29E-06
0.592;2.50E-06
0.594;3.98E-06
0.596;3.49E-06
0.598;3.91E-06
0.6;2.90E-07
0.602;-3.00E-06
0.604;-3.47E-06
0.606;3.40E-07
0.608;3.48E-06
0.61;6.40E-07
0.612;4.77E-06
0.614;2.67E-06
0.616;5.23E-06
0.618;3.80E-06
0.62;-1.25E-06
0.622;-5.40E-07
0.624;-1.70E-07
0.626;-2.47E-06
0.628;-1.21E-06
0.63;-5.12E-06
0.632;5.50E-07
0.634;2.71E-06
0.636;3.25E-06
0.638;3.95E-06
0.64;1.47E-06
0.642;1.00E-06
0.644;-1.96E-06
0.646;-4.58E-06
0.648;1.00E-07
0.65;-3.10E-07
0.652;1.16E-06
0.654;2.60E-06
0.656;1.50E-06
0.658;2.00E-07
0.66;7.30E-07
0.662;-3.03E-06
0.664;-1.20E-06
0.666;-1.67E-06
0.668;-3.64E-06
0.67;1.44E-06
0.672;6.10E-07
0.674;2.10E-07
0.676;1.12E-06
0.678;2.10E-07
0.68;3.60E-07
0.682;-1.83E-06
0.684;4.00E-07
0.686;-9.40E-07
0.688;-1.56E-06
0.69;3.33E-06
0.692;2.67E-06
0.694;3.98E-06
0.696;4.48E-06
0.698;3.52E-06
0.7;-5.22E-06
0.702;-9.00E-07
0.704;-4.00E-07
0.706;-6.00E-08
0.708;1.54E-06
0.71;2.52E-06
0.712;1.34E-06
0.714;3.86E-06
0.716;1.59E-06
0.718;1.16E-06
0.72;7.20E-07
0.722;-1.89E-06
0.724;4.50E-07
0.726;-1.07E-06
0.728;1.73E-06
0.73;1.12E-06
0.732;1.01E-06
0.734;3.21E-06
