,A(x),B(Y)
,"-104,594","3,90E-07"
,"-104,592","4,80E-07"
,"-104,59","1,80E-06"
,"-104,588","1,15E-06"
,"-104,586","3,40E-07"
,"-104,584","1,20E-07"
,"-104,582","-3,72E-06"
,"-104,58","-4,74E-06"
,"-104,578","-5,87E-06"
,"-104,576","-2,42E-06"
,"-104,574","-9,70E-07"
,"-104,572","2,71E-06"
,"-104,57","-6,50E-07"
,"-104,568","4,60E-07"
,"-104,566","1,13E-06"
,"-104,564","2,45E-06"
,"-104,562","1,04E-06"
,"-104,56","-1,94E-06"
,"-104,558","-2,13E-06"
,"-104,556","-4,02E-06"
,"-104,554","3,80E-07"
,"-104,552","-1,64E-06"
,"-104,55","-2,45E-06"
,"-104,548","-3,02E-06"
,"-104,546","-3,34E-06"
,"-104,544","-2,05E-06"
,"-104,542","-1,41E-06"
,"-104,54","9,10E-07"
,"-104,538","-1,79E-06"
,"-104,536","2,82E-06"
,"-104,534","1,54E-06"
,"-104,532","-1,80E-06"
,"-104,53","2,11E-06"
,"-104,528","4,40E-07"
,"-104,526","-1,66E-06"
,"-104,524","-6,50E-07"
,"-104,522","1,15E-06"
,"-104,52","-2,55E-06"
,"-104,518","1,62E-06"
,"-104,516","3,40E-07"
,"-104,514","1,11E-06"
,"-104,512","2,02E-06"
,"-104,51","3,84E-06"
,"-104,508","4,08E-06"
,"-104,506","3,59E-06"
,"-104,504","3,49E-06"
,"-104,502","2,53E-06"
,"-104,5","-3,90E-07"
,"-104,498","7,20E-07"
,"-104,496","2,40E-07"
,"-104,494","1,01E-06"
,"-104,492","1,07E-06"
,"-104,49","9,50E-07"
,"-104,488","-1,54E-06"
,"-104,486","2,02E-06"
,"-104,484","-9,00E-08"
,"-104,482","-9,10E-07"
,"-104,48","4,80E-07"
,"-104,478","1,57E-06"
,"-104,476","1,85E-06"
,"-104,474","2,95E-06"
,"-104,472","3,65E-06"
,"-104,47","3,10E-06"
,"-104,468","4,19E-06"
,"-104,466","2,83E-06"
,"-104,464","1,95E-06"
,"-104,462","1,20E-06"
,"-104,46","4,31E-06"
,"-104,458","1,70E-06"
