Frec,PSD
"1,99E+02","5,80E-09"
"2,00E+02","5,51E-09"
"2,01E+02","5,48E-09"
"2,02E+02","6,26E-09"
"2,03E+02","4,95E-09"
"2,04E+02","5,21E-09"
"2,05E+02","5,98E-09"
"2,06E+02","5,78E-09"
"2,07E+02","4,71E-09"
"2,08E+02","5,29E-09"
"2,09E+02","4,81E-09"
"2,10E+02","5,15E-09"
"2,11E+02","4,92E-09"
"2,12E+02","5,20E-09"
"2,13E+02","4,89E-09"
"2,14E+02","4,95E-09"
"2,15E+02","5,47E-09"
"2,16E+02","6,27E-09"
"2,17E+02","4,85E-09"
"2,18E+02","4,86E-09"
"2,19E+02","6,00E-09"
"2,20E+02","4,64E-09"
"2,21E+02","8,44E-09"
"2,22E+02","4,73E-09"
"2,23E+02","5,99E-09"
"2,24E+02","4,50E-09"
"2,25E+02","7,84E-09"
"2,26E+02","5,18E-09"
"2,27E+02","4,88E-09"
"2,28E+02","4,89E-09"
"2,29E+02","4,73E-09"
"2,30E+02","7,45E-09"
"2,31E+02","6,50E-09"
"2,32E+02","5,92E-09"
"2,33E+02","5,58E-09"
"2,34E+02","4,31E-09"
"2,35E+02","4,49E-09"
"2,36E+02","5,32E-09"
"2,37E+02","6,82E-09"
"2,38E+02","6,87E-09"
"2,39E+02","5,34E-09"
"2,40E+02","5,97E-09"
"2,41E+02","5,11E-09"
"2,42E+02","5,91E-09"
"2,43E+02","6,29E-09"
"2,44E+02","5,56E-09"
"2,45E+02","5,39E-09"
"2,46E+02","4,84E-09"
"2,47E+02","5,24E-09"
"2,48E+02","7,21E-09"
"2,49E+02","5,77E-09"
"2,50E+02","5,86E-09"
"2,51E+02","4,90E-09"
"2,52E+02","5,24E-09"
"2,53E+02","4,97E-09"
"2,54E+02","5,23E-09"
"2,55E+02","6,82E-09"
"2,56E+02","5,81E-09"
"2,57E+02","8,37E-09"
"2,58E+02","6,09E-09"
"2,59E+02","8,19E-09"
"2,60E+02","5,32E-09"
"2,61E+02","5,54E-09"
"2,62E+02","5,25E-09"
"2,63E+02","7,03E-09"
"2,64E+02","4,83E-09"
"2,65E+02","4,78E-09"
